Date,Open,High,Low,Close
1971-09-01,8.1000000000,8.1000000000,8.1000000000,8.1000000000
1971-10-01,8.0000000000,8.0000000000,8.0000000000,8.0000000000
1971-11-01,7.9000000000,7.9000000000,7.9000000000,7.9000000000
1971-12-01,7.9000000000,7.9000000000,7.9000000000,7.9000000000
1972-01-01,7.6000000000,7.6000000000,7.6000000000,7.6000000000
1972-02-01,7.3000000000,7.3000000000,7.3000000000,7.3000000000
1972-03-01,7.4000000000,7.4000000000,7.4000000000,7.4000000000
1972-04-01,7.7000000000,7.7000000000,7.7000000000,7.7000000000
1972-05-01,7.8000000000,7.8000000000,7.8000000000,7.8000000000
1972-06-01,7.9000000000,7.9000000000,7.9000000000,7.9000000000
1972-07-01,8.0000000000,8.0000000000,8.0000000000,8.0000000000
1972-08-01,7.9000000000,7.9000000000,7.9000000000,7.9000000000
1972-09-01,7.9000000000,7.9000000000,7.9000000000,7.9000000000
1972-10-01,8.0000000000,8.0000000000,8.0000000000,8.0000000000
1972-11-01,8.4000000000,8.4000000000,8.4000000000,8.4000000000
1972-12-01,8.6000000000,8.6000000000,8.6000000000,8.6000000000
1973-01-01,8.6000000000,8.6000000000,8.6000000000,8.6000000000
1973-02-01,8.6000000000,8.6000000000,8.6000000000,8.6000000000
1973-03-01,8.6000000000,8.6000000000,8.6000000000,8.6000000000
1973-04-01,8.8000000000,8.8000000000,8.8000000000,8.8000000000
1973-05-01,9.2000000000,9.2000000000,9.2000000000,9.2000000000
1973-06-01,9.9000000000,9.9000000000,9.9000000000,9.9000000000
1973-07-01,9.9000000000,9.9000000000,9.9000000000,9.9000000000
1973-08-01,9.8000000000,9.8000000000,9.8000000000,9.8000000000
1973-09-01,9.6000000000,9.6000000000,9.6000000000,9.6000000000
1973-10-01,9.7000000000,9.7000000000,9.7000000000,9.7000000000
1973-11-01,9.4000000000,9.4000000000,9.4000000000,9.4000000000
1973-12-01,9.6000000000,9.6000000000,9.6000000000,9.6000000000
1974-01-01,9.6000000000,9.6000000000,9.6000000000,9.6000000000
1974-02-01,9.9000000000,9.9000000000,9.9000000000,9.9000000000
1974-03-01,10.5000000000,10.5000000000,10.5000000000,10.5000000000
1974-04-01,10.4000000000,10.4000000000,10.4000000000,10.4000000000
1974-05-01,10.6000000000,10.6000000000,10.6000000000,10.6000000000
1974-06-01,10.7000000000,10.7000000000,10.7000000000,10.7000000000
1974-07-01,10.8000000000,10.8000000000,10.8000000000,10.8000000000
1974-08-01,10.8000000000,10.8000000000,10.8000000000,10.8000000000
1974-09-01,10.8000000000,10.8000000000,10.8000000000,10.8000000000
1974-10-01,10.8000000000,10.8000000000,10.8000000000,10.8000000000
1974-11-01,10.5000000000,10.5000000000,10.5000000000,10.5000000000
1974-12-01,9.9000000000,9.9000000000,9.9000000000,9.9000000000
1975-01-01,9.4000000000,9.4000000000,9.4000000000,9.4000000000
1975-02-01,8.9000000000,8.9000000000,8.9000000000,8.9000000000
1975-03-01,8.9000000000,8.9000000000,8.9000000000,8.9000000000
1975-04-01,8.8000000000,8.8000000000,8.8000000000,8.8000000000
1975-05-01,8.6000000000,8.6000000000,8.6000000000,8.6000000000
1975-06-01,8.4000000000,8.4000000000,8.4000000000,8.4000000000
1975-07-01,8.5000000000,8.5000000000,8.5000000000,8.5000000000
1975-08-01,8.5000000000,8.5000000000,8.5000000000,8.5000000000
1975-09-01,8.5000000000,8.5000000000,8.5000000000,8.5000000000
